"Individual","Age","TreeError","ResidError","Size"
1,10,-5.60475646552213,5.97420573875087,30.3694492732287
1,11,-5.60475646552213,4.00758858212123,29.4028321165991
1,12,-5.60475646552213,4.70894448368492,31.1041880181628
1,13,-5.60475646552213,4.23615307595699,31.6313966104349
1,14,-5.60475646552213,3.16832936997014,31.563572904448
1,15,-5.60475646552213,2.95035445531185,32.3455979897897
1,16,-5.60475646552213,1.92435000700461,32.3195935414825
1,17,-5.60475646552213,1.19545877771347,32.5907023121913
1,18,-5.60475646552213,0.570419509864208,32.9656630443421
1,19,-5.60475646552213,-1.1162738008782,32.2789697335997
1,20,-5.60475646552213,-0.27848675638368,34.1167567780942
2,10,-2.3017748948328,-0.125113638547165,27.57311146662
2,11,-2.3017748948328,-1.26325057555911,27.4349745296081
2,12,-2.3017748948328,-0.00943565448918582,29.688789450678
2,13,-2.3017748948328,0.417028566987628,31.1152536721548
2,14,-2.3017748948328,0.121957083995357,31.8201821891626
2,15,-2.3017748948328,1.01708274504038,33.7153078502076
2,16,-2.3017748948328,1.89521623257342,35.5934413377406
2,17,-2.3017748948328,2.71679731421091,37.4150224193781
2,18,-2.3017748948328,3.405437568311,39.1036626734782
2,19,-2.3017748948328,3.95935522184859,40.6575803270158
2,20,-2.3017748948328,3.89744351127187,41.5956686164391
3,10,15.5870831414912,3.59148084753195,49.1785639890232
3,11,15.5870831414912,3.21100984651957,49.7980929880108
3,12,15.5870831414912,2.51630286759905,50.1033860090903
3,13,15.5870831414912,2.30838558957946,50.8954687310707
3,14,15.5870831414912,1.04298923801119,50.6300723795024
3,15,15.5870831414912,3.2119452033497,53.799028344841
3,16,15.5870831414912,4.41990720165469,56.0069903431459
3,17,15.5870831414912,3.29679861845135,55.8838817599426
3,18,15.5870831414912,2.89391378315227,56.4809969246435
3,19,15.5870831414912,2.42725842952905,57.0143415710203
3,20,15.5870831414912,3.20722354786537,58.7943066893566
4,10,0.70508391424576,3.12385448139354,33.8289383956393
4,11,0.70508391424576,3.37717299538829,35.0822569096341
4,12,0.70508391424576,3.34862624003959,36.0537101542854
4,13,0.70508391424576,3.30575578274827,37.010839696994
4,14,0.70508391424576,4.67435806676273,39.3794419810085
4,15,0.70508391424576,4.44858708110346,40.1536709953492
4,16,0.70508391424576,5.965057685533,42.6701415997788
4,17,0.70508391424576,4.41630488130278,42.1213887955485
4,18,0.70508391424576,5.00091863093885,43.7060025451846
4,19,0.70508391424576,5.12477287478347,44.8298567890292
4,20,0.70508391424576,5.34071444352744,46.0457983577732
5,10,1.29287735160946,5.72035392628732,37.0132312778968
5,11,1.29287735160946,5.21803047317802,37.5109078247875
5,12,1.29287735160946,4.8848230895086,38.1777004411181
5,13,1.29287735160946,3.86624770640151,38.159125058011
5,14,1.29287735160946,2.79445647992593,38.0873338315354
5,15,1.29287735160946,3.09798512133019,39.3908624729397
5,16,1.29287735160946,3.54619489995961,40.8390722515691
5,17,1.29287735160946,3.59919912669012,41.8920764782996
5,18,1.29287735160946,4.52146659456986,43.8143439461793
5,19,1.29287735160946,6.571551280197,46.8644286318065
5,20,1.29287735160946,6.08052011414047,47.3733974657499
6,10,17.1506498688328,3.77135123849965,50.9220011073325
6,11,17.1506498688328,4.77708976296191,52.9277396317947
6,12,17.1506498688328,4.06788900037952,53.2185388692123
6,13,17.1506498688328,3.37988038391216,53.530530252745
6,14,17.1506498688328,4.40545175360886,55.5561016224417
6,15,17.1506498688328,4.12067874655785,56.2713286153907
6,16,17.1506498688328,2.89996103430331,56.0506109031361
6,17,17.1506498688328,3.08126451405246,57.2319143828853
6,18,17.1506498688328,2.94237315161342,58.0930230204462
6,19,17.1506498688328,2.94813733751331,59.0987872063461
6,20,17.1506498688328,3.33341773863964,60.4840676074725
7,10,4.60916205989202,2.96275770684723,37.5719197667392
7,11,4.60916205989202,3.60713425536606,39.2162963152581
7,12,4.60916205989202,3.38664769354731,39.9958097534393
7,13,4.60916205989202,3.71842965746301,41.327591717355
7,14,4.60916205989202,4.81526867061235,43.4244307305044
7,15,4.60916205989202,5.25045016144616,44.8596122213382
7,16,4.60916205989202,4.92451857591493,45.533680635807
7,17,4.60916205989202,6.07332619436602,47.682488254258
7,18,4.60916205989202,7.06683005032814,49.6759921102202
7,19,4.60916205989202,7.61522700983621,51.2243890697282
7,20,4.60916205989202,7.85395874494766,52.4631208048397
8,10,-12.6506123460653,7.22605266890828,24.5754403228429
8,11,-12.6506123460653,8.58670511743829,26.9360927713729
8,12,-12.6506123460653,7.98644553029116,27.3358331842258
8,13,-12.6506123460653,10.1737785233077,30.5231661772424
8,14,-12.6506123460653,11.7063891494929,33.0557768034276
8,15,-12.6506123460653,11.4706887903925,33.8200764443271
8,16,-12.6506123460653,10.4442678900857,33.7936555440203
8,17,-12.6506123460653,9.73386132638637,34.083248980321
8,18,-12.6506123460653,9.9907450355429,35.3401326894776
